date,time,away,score_away,home,score_home,audience
"Mon, Dec 30, 2019",7:00p,Atlanta Hawks,101,Orlando Magic,93,"17,784"
"Mon, Dec 30, 2019",7:00p,Miami Heat,105,Washington Wizards,123,"20,476"
"Mon, Dec 30, 2019",8:00p,Milwaukee Bucks,123,Chicago Bulls,102,"21,954"
"Mon, Dec 30, 2019",8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,"15,824"
"Mon, Dec 30, 2019",9:00p,Detroit Pistons,81,Utah Jazz,104,"18,306"
"Mon, Dec 30, 2019",10:00p,Phoenix Suns,122,Portland Trail Blazers,116,"19,896"
"Tue, Dec 31, 2019",3:00p,Boston Celtics,109,Charlotte Hornets,92,"19,216"
"Tue, Dec 31, 2019",3:00p,Philadelphia 76ers,97,Indiana Pacers,115,"17,923"
"Tue, Dec 31, 2019",5:00p,Los Angeles Clippers,105,Sacramento Kings,87,"16,231"
"Tue, Dec 31, 2019",7:00p,Denver Nuggets,104,Houston Rockets,130,"18,055"
"Tue, Dec 31, 2019",7:00p,Golden State Warriors,113,San Antonio Spurs,117,"18,354"
"Tue, Dec 31, 2019",7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,"19,800"
"Tue, Dec 31, 2019",8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,"18,203"
