date,time,away,score_away,home,score_home,audience
"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,"19,432"
"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,"17,794"
"Sat, Nov 23, 2019",8:30p,Detroit Pistons,90,Milwaukee Bucks,104,"17,585"
"Sat, Nov 23, 2019",9:00p,New Orleans Pelicans,120,Utah Jazz,128,"18,306"
"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,137,Houston Rockets,123,"18,055"
"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,103,New York Knicks,101,"18,770"
"Sun, Nov 24, 2019",6:00p,Sacramento Kings,113,Washington Wizards,106,"15,885"
"Sun, Nov 24, 2019",8:00p,Phoenix Suns,104,Denver Nuggets,116,"19,520"
"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,"19,068"
"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,"17,143"
"Mon, Nov 25, 2019",7:00p,Orlando Magic,88,Detroit Pistons,103,"14,695"
"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,114,Indiana Pacers,126,"15,141"
"Mon, Nov 25, 2019",7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,"16,218"
"Mon, Nov 25, 2019",7:30p,Sacramento Kings,102,Boston Celtics,103,"19,156"
"Mon, Nov 25, 2019",7:30p,Charlotte Hornets,100,Miami Heat,117,"19,600"
"Mon, Nov 25, 2019",7:30p,Philadelphia 76ers,96,Toronto Raptors,101,"19,800"
"Mon, Nov 25, 2019",8:00p,Portland Trail Blazers,117,Chicago Bulls,94,"18,776"
"Mon, Nov 25, 2019",8:00p,Utah Jazz,118,Milwaukee Bucks,122,"17,385"
"Mon, Nov 25, 2019",8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,"18,498"
"Mon, Nov 25, 2019",10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,"18,064"
"Tue, Nov 26, 2019",8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,"20,407"
"Tue, Nov 26, 2019",9:00p,Washington Wizards,104,Denver Nuggets,117,"18,673"
"Wed, Nov 27, 2019",7:00p,Brooklyn Nets,110,Boston Celtics,121,"19,156"
"Wed, Nov 27, 2019",7:00p,Detroit Pistons,101,Charlotte Hornets,102,"15,535"
"Wed, Nov 27, 2019",7:00p,Orlando Magic,116,Cleveland Cavaliers,104,"17,712"
"Wed, Nov 27, 2019",7:00p,Utah Jazz,102,Indiana Pacers,121,"17,027"
"Wed, Nov 27, 2019",7:00p,Sacramento Kings,91,Philadelphia 76ers,97,"20,592"
"Wed, Nov 27, 2019",7:30p,New York Knicks,98,Toronto Raptors,126,"19,800"
"Wed, Nov 27, 2019",8:00p,Miami Heat,108,Houston Rockets,117,"18,055"
"Wed, Nov 27, 2019",8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,"16,721"
"Wed, Nov 27, 2019",8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,"17,525"
"Wed, Nov 27, 2019",8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,"18,354"
"Wed, Nov 27, 2019",9:00p,Washington Wizards,140,Phoenix Suns,132,"14,123"
"Wed, Nov 27, 2019",9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,"18,626"
"Wed, Nov 27, 2019",10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,"19,870"
"Wed, Nov 27, 2019",10:30p,Chicago Bulls,90,Golden State Warriors,104,"18,064"
"Fri, Nov 29, 2019",12:00p,Boston Celtics,107,Brooklyn Nets,112,"17,732"
"Fri, Nov 29, 2019",7:00p,Charlotte Hornets,110,Detroit Pistons,107,"15,006"
"Fri, Nov 29, 2019",7:00p,Toronto Raptors,90,Orlando Magic,83,"17,014"
"Fri, Nov 29, 2019",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,"19,432"
"Fri, Nov 29, 2019",7:30p,Philadelphia 76ers,101,New York Knicks,95,"18,109"
"Fri, Nov 29, 2019",8:00p,Atlanta Hawks,104,Indiana Pacers,105,"15,827"
"Fri, Nov 29, 2019",8:00p,Utah Jazz,103,Memphis Grizzlies,94,"16,605"
"Fri, Nov 29, 2019",8:00p,Golden State Warriors,105,Miami Heat,122,"19,600"
"Fri, Nov 29, 2019",8:00p,New Orleans Pelicans,104,Oklahoma City Thunder,109,"18,203"
"Fri, Nov 29, 2019",8:30p,Los Angeles Clippers,97,San Antonio Spurs,107,"18,354"
"Fri, Nov 29, 2019",9:00p,Dallas Mavericks,120,Phoenix Suns,113,"18,055"
"Fri, Nov 29, 2019",10:00p,Chicago Bulls,103,Portland Trail Blazers,107,"20,139"
"Fri, Nov 29, 2019",10:30p,Washington Wizards,103,Los Angeles Lakers,125,"18,997"
"Sat, Nov 30, 2019",5:00p,Denver Nuggets,97,Sacramento Kings,100,"17,583"
"Sat, Nov 30, 2019",7:00p,Indiana Pacers,116,Philadelphia 76ers,119,"20,517"
"Sat, Nov 30, 2019",8:00p,Atlanta Hawks,111,Houston Rockets,158,"18,055"
"Sat, Nov 30, 2019",8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,"17,550"
